610nm,680nm,730nm,760nm,810nm,860nm,fruit,brix,ripeness,moisture,defect,fungus,grade
0.3922830653244752,0.3951993645569289,0.4459396509462206,0.595879878933012,0.7939083116278358,0.9654369992346368,strawberry,5.71,8.0,76.86,1,1,C
0.4044040794852354,0.3916468219283149,0.4721087396016873,0.6061748450621817,0.827296928488913,1.0611398099158127,strawberry,5.0,5.0,87.98,1,0,B
0.4003645385056176,0.3919078155444226,0.438679330918815,0.6055715951492883,0.8198523342443976,1.0183091503062218,strawberry,5.0,5.0,81.18,1,1,C
0.3869047087480604,0.397256191035909,0.4759290795506757,0.6078017429166965,0.9859750365930092,1.2372115979783296,strawberry,5.62,6.0,94.11,0,0,B
0.4075857377132361,0.4021290083723473,0.5172654704292229,0.6503312686887569,0.9554232161817322,1.2212481383297369,strawberry,8.9,8.0,90.88,0,0,B
0.400362583081284,0.412512967264234,0.4145363010734121,0.5849502790725322,0.7926849134215158,1.011923714253951,strawberry,5.0,5.0,80.8,1,1,C
0.4056962142889075,0.404064674548627,0.474765798952981,0.6195875773762233,0.8616959028091696,1.069317552896505,strawberry,8.83,10.0,80.75,0,1,C
0.4115267103555232,0.4085393829123239,0.4381965158119177,0.5807228842627379,0.8643386280575428,1.0646869838270576,strawberry,5.0,6.0,84.49,0,1,C
0.4158775764058335,0.390628676525931,0.4356363123571078,0.6019121325486941,0.8260223381348395,1.0421320801362195,strawberry,5.0,5.0,83.02,1,1,C
0.3972577953496708,0.401679875986785,0.4544499191034838,0.6265722363731193,0.9680461874578888,1.2313518897476543,strawberry,5.0,5.0,93.57,0,0,B
0.3986232591572662,0.4016627567744754,0.4908597951283076,0.6129003426267212,0.8625257804877038,1.0616335242643846,strawberry,9.26,10.0,80.46,0,1,C
0.4228467172741106,0.4039684508802872,0.5396884847052021,0.6623142685450559,0.9699847179325636,1.209577645552361,strawberry,12.0,10.0,89.86,0,0,A
0.3921067456303226,0.3992874452240484,0.52459595862245,0.643120371906114,0.96892082537245,1.1976916402129845,strawberry,10.55,9.0,88.92,0,0,A
0.4154289198378312,0.4257255969959467,0.4339094213939203,0.5846022661592059,0.8044620621167453,1.0036403687093027,strawberry,5.0,5.0,80.58,1,1,C
0.4025961243471829,0.3933823971267963,0.5414910663167452,0.6594976593285855,0.946519713981056,1.1974924721586255,strawberry,10.64,9.0,88.86,0,0,A
0.3997601354869008,0.3870691966521598,0.4884039081607967,0.6088165728815021,0.8590860470736434,1.0840870965002434,strawberry,7.68,9.0,83.23,0,1,C
0.3991430757227718,0.3879397676353065,0.4594073257074419,0.6162404405379397,0.9703367940807384,1.2427481637818365,strawberry,5.3,6.0,92.84,0,0,B
0.3876462529641432,0.3913712444190427,0.4302672650056821,0.6009155802075351,0.813385631384686,1.0002833697900446,strawberry,5.0,7.0,78.83,1,1,C
0.4218761429727591,0.3914358463462037,0.428200512243804,0.6001302804527984,0.8194068168073709,1.0003312103378497,strawberry,5.0,6.0,80.21,1,1,C
0.4117371287571473,0.3920101939856327,0.4778383353498983,0.6110071295588674,0.9784073272151343,1.2197700767178252,strawberry,6.949999999999999,7.0,91.52,0,0,B
0.400403629716865,0.3818078816086519,0.5385913864261914,0.6550583212354866,0.962472743810004,1.2357859769652189,strawberry,10.33,9.0,89.76,0,0,A
0.39508917282669,0.413317022049742,0.438125888616475,0.5940150761929311,0.8626859184672022,1.081914572439609,strawberry,5.0,7.0,84.39,0,1,C
0.3910181637058985,0.4050857296378804,0.5345287850003617,0.6527518899149216,0.8028655409045182,0.9947574827773612,strawberry,12.0,10.0,81.88,1,0,B
0.4063050559691225,0.4062904893241305,0.4854740024159713,0.616953067469894,0.8362352243649107,1.0468030169670297,strawberry,7.15,7.0,87.4,1,0,B
0.4049208662398874,0.3957870902125052,0.4437328117612613,0.605923938160474,0.870836125884094,1.1031172991601157,strawberry,5.0,6.0,85.59,0,1,C
